customer_id,recency,frequency,monetary,first_order,last_order,reference_date,r_score,f_score,m_score,rfm_score,segment,recommended_action
CUST000001,525.0,4,175.22,2024-09-08,2025-03-24,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000002,155.0,2,132.39000000000001,2026-01-01,2026-03-29,2026-08-31,3,2,3,8,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000003,301.0,1,73.48,2025-11-03,2025-11-03,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000004,134.0,1,17.29,2026-04-19,2026-04-19,2026-08-31,3,1,1,5,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000005,60.0,12,1033.8500000000001,2024-09-15,2026-07-02,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000006,36.0,14,10002.37,2024-11-11,2026-07-26,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000007,621.0,2,172.56,2024-09-18,2024-12-18,2026-08-31,1,2,3,6,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000008,555.0,3,74.17,2024-09-12,2025-02-22,2026-08-31,1,3,2,6,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000009,82.0,13,933.1700000000001,2024-09-13,2026-06-10,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000010,66.0,5,166.23,2025-04-04,2026-06-26,2026-08-31,4,4,3,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000011,118.0,3,110.49,2025-12-16,2026-05-05,2026-08-31,3,3,3,9,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000012,376.0,4,184.84,2025-06-14,2025-08-20,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000013,190.0,1,29.05,2026-02-22,2026-02-22,2026-08-31,3,1,1,5,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000014,577.0,1,45.71,2025-01-31,2025-01-31,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000015,140.0,3,269.38,2025-09-03,2026-04-13,2026-08-31,3,3,4,10,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000016,81.0,5,361.36,2025-11-10,2026-06-11,2026-08-31,4,4,4,12,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000017,121.0,1,161.38,2026-05-02,2026-05-02,2026-08-31,3,1,3,7,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000018,22.0,11,881.35,2024-09-19,2026-08-09,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000019,361.0,4,144.57,2025-02-15,2025-09-04,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000020,218.0,1,10.5,2026-01-25,2026-01-25,2026-08-31,3,1,1,5,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000021,435.0,3,116.02,2024-11-03,2025-06-22,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000022,81.0,3,73.69,2026-01-08,2026-06-11,2026-08-31,4,3,2,9,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000023,37.0,13,9652.38,2024-10-01,2026-07-25,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
